Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
day1_afternoon_adventurers_guild_intro_11a3ccd6	gm.says	So report back here in a weeks time after you've {i}passed{/i} your exams, and we'll get you set up with a physical license and let you start taking on contracts.	game/events/plot/prologue/day1.rpy	413	gm.says "[what]"
day1_afternoon_adventuers_guild_questions_fa0172b3	gm.says	Alright that's my whole spiel. Do you have any questions before we kick you out?	game/events/plot/prologue/day1.rpy	434	gm.says "[what]" nointeract
day1_afternoon_adventuers_guild_questions_67b7c25c	gm.says	I did.	game/events/plot/prologue/day1.rpy	437	gm.says "[what]"
day1_afternoon_adventuers_guild_questions_710aa6e6	gm.says	Damien was equal parts a good man and a scoundrel, but he had a big heart and he loved you with all of it.	game/events/plot/prologue/day1.rpy	437	gm.says "[what]"
day1_afternoon_adventuers_guild_questions_c659ede4	gm.says	He would go to unreasonable lengths to help those in front of him.	game/events/plot/prologue/day1.rpy	437	gm.says "[what]"
day1_afternoon_adventuers_guild_questions_b7d0b6fc	gm.says	He had all these grand plans of making it big as an adventurer. Bringing back wealth and glory. He figured this was how he'd do right by you all.	game/events/plot/prologue/day1.rpy	437	gm.says "[what]"
day1_afternoon_adventuers_guild_questions_472eb7d9	gm.says	But he didn't understand where his wife and kids needed him most was back home with them. And then he went and got himself killed.	game/events/plot/prologue/day1.rpy	437	gm.says "[what]"
day1_afternoon_adventuers_guild_questions_b78509f5	gm.says	But there's no point in reminiscing on the past. Maybe if you can establish yourself more around here, I'll have more stories to tell about him.	game/events/plot/prologue/day1.rpy	437	gm.says "[what]"
day1_afternoon_adventuers_guild_questions_6748167e	gm.says	Hah! Well you've got the right attitude, believe it or not. We're not a charity, and the guild collects payment for the contracts we fulfill.	game/events/plot/prologue/day1.rpy	456	gm.says "[what]"
day1_afternoon_adventuers_guild_questions_e3ce82a7	gm.says	Based on your rank we have standard rate splits. For example a full Class E adventurer would generally expect to get a 60% split of the payout, which isn't bad considering it's costing us more to organize these contracts, facilitate the payments, and offer support to adventurers than we're making on that 40% cut.	game/events/plot/prologue/day1.rpy	456	gm.says "[what]"
day1_afternoon_adventuers_guild_questions_e2dfd45d	gm.says	But we need you all to make enough to feed yourselves and stay off the streets while you hopefully get good enough to take on more difficult contracts.	game/events/plot/prologue/day1.rpy	456	gm.says "[what]"
day1_afternoon_adventuers_guild_questions_bbbb122f	gm.says	Those contracts in turn are more lucrative so the guild needs to take less of a cut to cover our overheads. So at the higher ranks, the job pays pretty well.	game/events/plot/prologue/day1.rpy	456	gm.says "[what]"
day1_afternoon_adventuers_guild_questions_563fe856	gm.says	Of course, we won't be anywhere near as generous with you. We're already paying for your cushy room as well as all the food you eat up there at the academy, not to mention the outrageous sums they charge for tuition.	game/events/plot/prologue/day1.rpy	456	gm.says "[what]"
day1_afternoon_adventuers_guild_questions_00edb959	gm.says	So we'll be taking most of what you bring in from contracts so you can start paying back what we've invested in you.	game/events/plot/prologue/day1.rpy	456	gm.says "[what]"
day1_afternoon_adventuers_guild_questions_37d3bdf9	gm.says	Still we'll leave you with some pocket change so you can afford to buy some candy after class.	game/events/plot/prologue/day1.rpy	456	gm.says "[what]"
day1_afternoon_post_guild_8e9ed585		After leaving the guild hall I note that it's well past midday now. This far north, it won't be long now until sunset.	game/events/plot/prologue/day1.rpy	491	"[what]"
day1_afternoon_post_guild_899c4ecd		I feel my stomach grumbling as I realize I haven't had anything to eat since early morning.	game/events/plot/prologue/day1.rpy	491	"[what]"
day1_afternoon_post_guild_1076d088	mc.says	Excuse me, can you point me to the nearest shrine to the spirits?	game/events/plot/prologue/day1.rpy	502	mc.says "[what]"
day1_afternoon_post_guild_1f508b4e	"Stranger1"	Sorry, I'm not sure...	game/events/plot/prologue/day1.rpy	504	"Stranger1" "[what]"
day1_afternoon_post_guild_1adaab54	"Stranger2"	A shrine? I don't think I've ever seen one around here.	game/events/plot/prologue/day1.rpy	506	"Stranger2" "[what]"
day1_afternoon_post_guild_40818770	"Stranger3"	Sorry there aren't too many superstitious folks around here kid.	game/events/plot/prologue/day1.rpy	508	"Stranger3" "[what]"
day1_afternoon_post_guild_97f74849		It takes several more tries before I find someone who can point me in the right direction	game/events/plot/prologue/day1.rpy	510	"[what]"
day1_afternoon_post_guild_fb4e2f9f	"Stranger17"	A shrine... yeah I swear I've seen one around somewhere. I think down that district there, a little ways past the residential blocks. There should be one over there.	game/events/plot/prologue/day1.rpy	512	"Stranger17" "[what]"
day1_afternoon_post_guild_2a9b5661		And by the time I track it down it's been nearly two hours since I started and the sun is hanging low in the sky.	game/events/plot/prologue/day1.rpy	515	"[what]"
day1_afternoon_market_lunch_5a1bd17a		I make my way to the market and follow my nose to the prepared food stalls.	game/events/plot/prologue/day1.rpy	523	"[what]"
day1_afternoon_market_lunch_43afde24		There I'm met with a cavalcade of sights and sounds and smells of so many dishes being prepared.	game/events/plot/prologue/day1.rpy	523	"[what]"
day1_afternoon_market_lunch_e03ecab3		I spend a while deliberating before settling on some dumplings and a fresh peach for dessert.	game/events/plot/prologue/day1.rpy	523	"[what]"
day1_afternoon_market_lunch_2aa1b7ce		I find a quiet bench overlooking the river to enjoy my meal.	game/events/plot/prologue/day1.rpy	533	"[what]"
day1_afternoon_market_lunch_4b8156d8		I feel like a lot's happened already and I should take this opportunity to take stock.	game/events/plot/prologue/day1.rpy	533	"[what]"
day1_afternoon_market_lunch_08fa0052		Classes begin tomorrow but more importantly there's an exam at the end of the week that I need to make sure I'm prepared for.	game/events/plot/prologue/day1.rpy	533	"[what]"
day1_afternoon_market_lunch_5afb0058		I have duties to the Adventurer's Guild, but that can wait until next week.	game/events/plot/prologue/day1.rpy	533	"[what]"
day1_afternoon_market_lunch_42200587		And the guildmaster said they knew my father. This could be my chance to find out what happened to him and what kind of man he was.	game/events/plot/prologue/day1.rpy	533	"[what]"
day1_afternoon_market_lunch_64b71ba2		Somewhere between the full stomach and laying out my concerns I feel a lot more in control.	game/events/plot/prologue/day1.rpy	533	"[what]"
day1_afternoon_market_lunch_d495bd22		I also recall that there was one more thing I had been meaning to do in town today. I return to the market and pick up a few more peaches before starting on my last mission for the day.	game/events/plot/prologue/day1.rpy	533	"[what]"
day1_night_shrine_intro_2fc91176		Back home it's pretty normal for people to show reverence to the spirits, and the shrine is a pretty prominent feature of the town.	game/events/plot/prologue/day1.rpy	566	"[what]"
day1_night_shrine_intro_1956216b		I was never especially devout, but I was taught that whenever traveling you should pay respects to the local spirits and ask for their protection while visiting their domain.	game/events/plot/prologue/day1.rpy	566	"[what]"
day1_night_shrine_intro_69b73892		It seems the people here have a different perspective towards the spirits, which feels odd because this city and everything that's made it so successful is built entirely on the power of the spirits.	game/events/plot/prologue/day1.rpy	566	"[what]"
day1_night_shrine_intro_3717388e		Now that I approach the shrine, my offering of fresh peaches in tow, I take notice of how run-down the temple around it is.	game/events/plot/prologue/day1.rpy	566	"[what]"
day1_night_shrine_intro_634f2d06		The main offering altar is well maintained but there are side buildings that look abandoned and unkempt.	game/events/plot/prologue/day1.rpy	566	"[what]"
day1_night_shrine_intro_f070994a		It's so quiet that I feel like I'm intruding, but I gather up my courage and move to make my offering.	game/events/plot/prologue/day1.rpy	566	"[what]"
day1_night_shrine_intro_294c7ac9	sk.says	Well now isn't this a surprise. What are you doing here young one?	game/events/plot/prologue/day1.rpy	589	sk.says "[what]"
day1_night_shrine_intro_a12f6500	mc.says	Good evening ma'am. I'm new to town and I'm here to pay my respects to the local spirits.	game/events/plot/prologue/day1.rpy	591	mc.says "[what]"
day1_night_shrine_intro_95d304f2	sk.says	Have you now? And what have your brought the spirits this evening?	game/events/plot/prologue/day1.rpy	594	sk.says "[what]"
day1_night_shrine_intro_008af7dc	mc.says	Just some peaches from the market.	game/events/plot/prologue/day1.rpy	596	mc.says "[what]"
day1_night_shrine_intro_f74964fa		I put my 3 peaches on the altar step back down from the steps.	game/events/plot/prologue/day1.rpy	598	"[what]"
day1_night_shrine_intro_e4cf6e3d	sk.says	Peaches, you say?	game/events/plot/prologue/day1.rpy	600	sk.says "[what]"
day1_night_shrine_intro_044bf4b3		The old woman saunters over to the offering altar picks up a peach and inspects it.	game/events/plot/prologue/day1.rpy	602	"[what]"
day1_night_shrine_intro_0e1eba76	sk.says	Mmm, you've got a good eye for produce.	game/events/plot/prologue/day1.rpy	604	sk.says "[what]"
day1_night_shrine_intro_c4d48987		And with a loud crunch, she takes a bite of my offering.	game/events/plot/prologue/day1.rpy	606	"[what]"
day1_night_shrine_intro_9a5683f7	sk.says	How did you know peaches were my favorite?	game/events/plot/prologue/day1.rpy	608	sk.says "[what]"
day1_night_shrine_intro_bfdab4e7		I'm at a loss for words. This woman can't be an official here, she must be some vagrant who swipes offerings people leave here!	game/events/plot/prologue/day1.rpy	610	"[what]"
day1_night_shrine_intro_7ee61efc	sk.says	Hehehehe oh you must see the look on your face. Oh don't get your knickers in a knot, I'm just having some fun with you. 	game/events/plot/prologue/day1.rpy	613	sk.says "[what]"
day1_night_shrine_intro_49677807	mc.says	By stealing offerings from the shrine! Does noone in this city respect the spirits anymore?!	game/events/plot/prologue/day1.rpy	617	mc.says "[what]"
day1_night_shrine_intro_e97e5662		I don't know why this has me so heated. Somehow this moment was important to me. Some connection to home through similar ritual.	game/events/plot/prologue/day1.rpy	620	"[what]"
day1_night_shrine_intro_71cc363c	sk.says	You should be old enough to know by now the spirits aren't sneaking in at night to whisk your offering away. At a more distinguished temple in the south the attendants might leave this offering out for a few days until the spoiling fruit threatens to injure the dignity of the shrine.	game/events/plot/prologue/day1.rpy	623	sk.says "[what]"
day1_night_shrine_intro_1975dcdb	sk.says	At which point they'll throw it on a rubbish heap. Or perhaps at some of the more progressive sites they might collect the eddible offerings to donate to an orphanage.	game/events/plot/prologue/day1.rpy	623	sk.says "[what]"
day1_night_shrine_intro_2cb748e3	sk.says	But don't you think to question my devotion to the spirits just beacuse I won't tolerate letting a prime peach go to waste!	game/events/plot/prologue/day1.rpy	623	sk.says "[what]"
day1_night_shrine_intro_5110a3dc	sk.says	Why else would I carry on with such a thankless job as maintaining this temple?	game/events/plot/prologue/day1.rpy	623	sk.says "[what]"
day1_night_shrine_intro_8b27a32c		I'm a embarrased by being called out this way, but I still can't help glancing at the poor state of the rest of the temple.	game/events/plot/prologue/day1.rpy	638	"[what]"
day1_night_shrine_intro_d5cadcf5		The old woman seems to catch my gaze and grows a bit more solemn.	game/events/plot/prologue/day1.rpy	641	"[what]"
day1_night_shrine_intro_d8160dfa	sk.says	Not that this place hasn't seen better days. But what am I to do? You can't fix up a temple with peaches alone, not that the locals bother offering even that much.	game/events/plot/prologue/day1.rpy	643	sk.says "[what]"
day1_night_shrine_intro_de260e9e	sk.says	Look, I know you're not a bad kid. I didn't need to leap don't your throat like that. In my advanced age I've learned to be less concerned about dignity; much better to say what's on your mind and have fun with what time I've got left.	game/events/plot/prologue/day1.rpy	643	sk.says "[what]"
day1_night_shrine_intro_e57a04a7	sk.says	So you've come all the way out here, let me offer you a blessing:	game/events/plot/prologue/day1.rpy	643	sk.says "[what]"
day1_night_shrine_intro_42b20483	sk.says	As I've borne witness, the sprits accept and appreciate your offering, child. May they show you their favor, offer you their protection, and guide you with their wisdom during your stay here.	game/events/plot/prologue/day1.rpy	643	sk.says "[what]"
day1_night_shrine_intro_d5761834	mc.says	Thank you, shrine keeper.	game/events/plot/prologue/day1.rpy	658	mc.says "[what]"
day1_night_shrine_intro_a0e84bdd		I offer her a bow, but as I straighten again I feel a dizziness come over me, along with a thrumming in my ears.	game/events/plot/prologue/day1.rpy	660	"[what]"
day1_night_shrine_intro_166a37bf		I have to support myself on a pillar to stop from falling as the thrumming grows, louder and more insistent.	game/events/plot/prologue/day1.rpy	660	"[what]"
day1_night_shrine_intro_37446282		I can hear someone calling out to me, at the edges of my perception... the shrine keeper?	game/events/plot/prologue/day1.rpy	660	"[what]"
day1_night_shrine_intro_5aa0edc5		Then as quickly as it came, the sensation fades again. I'm sweating and shivering slightly but am already feeling much better, though I see the shrine keeper looking very concerned.	game/events/plot/prologue/day1.rpy	660	"[what]"
day1_night_shrine_intro_6cc31ab0		Finding my balance again, I straighten up.	game/events/plot/prologue/day1.rpy	660	"[what]"
day1_night_shrine_intro_7e1a85c6	mc.says	I'm sorry, I don't know what just came over me. I should be fine now that it's passed.	game/events/plot/prologue/day1.rpy	674	mc.says "[what]"
day1_night_shrine_intro_40036aed		Then all at once it hits me again, like a tsunami, and I lose consciousness.	game/events/plot/prologue/day1.rpy	676	"[what]"
day2_ea475fc7	sn.says	Good morning sleepy head.	game/events/plot/prologue/day2.rpy	16	sn.says "[what]"
day2_9dbba12a	sn.says	You were brought in last night by a sweet old thing who was quite shook up with you collapsing on her.	game/events/plot/prologue/day2.rpy	16	sn.says "[what]"
day2_aaa167cd	sn.says	I looked you over and couldn't find a thing wrong with you, so I just let you sleep it off here.	game/events/plot/prologue/day2.rpy	16	sn.says "[what]"
day2_e7504aab	sn.says	Classes haven't even started yet and you kids are already working yourselves to death.	game/events/plot/prologue/day2.rpy	16	sn.says "[what]"
day2_eba8ec78	sn.says	Speaking of, you're a first year, right? So you'll be needing to get ready if you want to catch your first class.	game/events/plot/prologue/day2.rpy	16	sn.says "[what]"
day2_789077ff		I thank the nurse, embarrassed and rush back to my room to get ready.	game/events/plot/prologue/day2.rpy	30	"[what]"
day2_night_a7cd7568		I collapse into my bed at the end of the day, my mind still whirling with everything I've been learning.	game/events/plot/prologue/day2.rpy	39	"[what]"
day2_night_082a0303		Between classes where I'm already way behind the other students and having to report to the guild, I'm worried I won't last long here.	game/events/plot/prologue/day2.rpy	39	"[what]"
day2_night_8b6e2f53		But for now it's late and I'm plenty tired so I should try to quell my doubts and get to bed. I can already feel a headache coming on.	game/events/plot/prologue/day2.rpy	39	"[what]"
day2_night_1ee11aff		I close my eyes and begin to drift.	game/events/plot/prologue/day2.rpy	39	"[what]"
day2_night_dream_a20cefa7		...	game/events/plot/prologue/day2.rpy	57	"[what]"
day2_night_dream_148b4032		I feel... heat. And pain. My head throbs insistently. And there's a persistent thrumming in my ears.	game/events/plot/prologue/day2.rpy	57	"[what]"
day2_night_dream_1ae0a761		The thoughts are hard to pin down.	game/events/plot/prologue/day2.rpy	57	"[what]"
day2_night_dream_5d1e2712		The sensations fade as I finally settle into sleep.	game/events/plot/prologue/day2.rpy	57	"[what]"
day3_night_03ee146e		I make it back to my room at the end of the day, exhausted.	game/events/plot/prologue/day3.rpy	6	"[what]"
day3_night_3dcfb862		I'm surprised by how physically taxing channeling has proven, and my head still hasn't forgiven me for pushing myself so hard in class today.	game/events/plot/prologue/day3.rpy	6	"[what]"
day3_night_c361f663		The moon is bright enough to light up my room and I'm tempted to stay up a little bit longer.	game/events/plot/prologue/day3.rpy	6	"[what]"
day3_night_a66e123c		I had vague intentions of doing some attuning practice tonight, but I don't think my head can I can take much more today so I just pull the curtains shut.	game/events/plot/prologue/day3.rpy	6	"[what]"
day3_night_4786246e		I slide into bed, thankful the academy designed the accomodations to satisfy its primarily noble student body, and drop into sleep so quickly I hardly notice the thrumming that's begun in my ears.	game/events/plot/prologue/day3.rpy	6	"[what]"
day3_night_dream_a20cefa7		...	game/events/plot/prologue/day3.rpy	27	"[what]"
day3_night_dream_9cc2c7ec		My ears ring loudly now, and my head's throbbing so hard I wince at the pain.	game/events/plot/prologue/day3.rpy	27	"[what]"
day3_night_dream_5c91a9aa		No. Not at the pain, at the light.	game/events/plot/prologue/day3.rpy	27	"[what]"
day3_night_dream_149f6eeb		The flickering is so bright. I thought I had closed my curtains?	game/events/plot/prologue/day3.rpy	27	"[what]"
day3_night_dream_a4cf96f6		And the heat is so intense. I can't sleep like this.	game/events/plot/prologue/day3.rpy	27	"[what]"
day3_night_dream_0a23570e		Or am I already sleeping? I must be dreaming...	game/events/plot/prologue/day3.rpy	27	"[what]"
day3_night_dream_f2972ed2		The sensations are already fading as my thoughts work to catch up, and the darkness of sleep reclaims me.	game/events/plot/prologue/day3.rpy	27	"[what]"
day4_night_0a76fe24		I finally did it today. I channeled for the first time in my life. At least, the first time on purpose.	game/events/plot/prologue/day4.rpy	5	"[what]"
day4_night_fc27c493		I'm still riding that high as I return to my room.	game/events/plot/prologue/day4.rpy	5	"[what]"
day4_night_ce0d2774		A part of me was convinced I didn't actually have what it takes to channel. But now it feels like I might have a shot to make it through this.	game/events/plot/prologue/day4.rpy	5	"[what]"
day4_night_5411d6d3		I'm not even surprised when the thrumming starts in my ears as I settle in to rest for the night.	game/events/plot/prologue/day4.rpy	5	"[what]"
day4_night_dream_a20cefa7		...	game/events/plot/prologue/day4.rpy	22	"[what]"
day4_night_dream_c8fe5697		Tonight my dreams take a different turn than usual.	game/events/plot/prologue/day4.rpy	22	"[what]"
day4_night_dream_aa37036a		My head hurts and my ears are still buzzing, but I'm a kid again.	game/events/plot/prologue/day4.rpy	22	"[what]"
day4_night_dream_3d3c3915		I got up early and snuck out before sunrise with my friends.	game/events/plot/prologue/day4.rpy	22	"[what]"
day4_night_dream_e106a3ad		We're going to go check out the old abandoned temple. It's a test of courage.	game/events/plot/prologue/day4.rpy	22	"[what]"
day4_night_dream_0f669b3b		Some of them believe there's an old which who lives here. One of them even believes they saw a ghost here once.	game/events/plot/prologue/day4.rpy	22	"[what]"
day4_night_dream_39b19431		But I'm not afraid. I told them they were stupid for believing in such childish things.	game/events/plot/prologue/day4.rpy	22	"[what]"
day4_night_dream_80282a15		Plus I've got a secret weapon in case any ghosts do try to sneak up on us.	game/events/plot/prologue/day4.rpy	22	"[what]"
day4_night_dream_042f4266		We met up outside my house and are now moving quietly through the empty streets.	game/events/plot/prologue/day4.rpy	22	"[what]"
day4_night_dream_23cd7143		The moon is so bright that it's not hard to see, and we all know our way around the neighborhood. It doesn't take long before we make it to the old temple.	game/events/plot/prologue/day4.rpy	22	"[what]"
day4_night_dream_c2d0c062		I lead the way with 3 other kids huddling close behind, but I've never really been this close to the temple before so I'm starting to lose my nerve a little.	game/events/plot/prologue/day4.rpy	22	"[what]"
day4_night_dream_4f9bafbe		The stonework on the ground is uneven and I stumble. I catch myself, but not before yelling a bit more loudly than I had intended.	game/events/plot/prologue/day4.rpy	22	"[what]"
day4_night_dream_7055945f		A light comes on in a nearby room, and we see her: it's the witch!	game/events/plot/prologue/day4.rpy	22	"[what]"
day4_night_dream_a77598dd		I jolt awake to find that it's already morning.	game/events/plot/prologue/day4.rpy	22	"[what]"
day5_night_5bf2de95		Tonight the thrumming begins earlier than before.	game/events/plot/prologue/day5.rpy	5	"[what]"
day5_night_6d6e91d3		I realize it's the same sensation I get when I push myself too hard to attune to the spirits. Except, different.	game/events/plot/prologue/day5.rpy	5	"[what]"
day5_night_ac2f947e		It's deeper, and somehow... more insistent.	game/events/plot/prologue/day5.rpy	5	"[what]"
day5_night_34cc7e20		It must be some sort of after-effect of working myself so hard in clases.	game/events/plot/prologue/day5.rpy	5	"[what]"
day5_night_c76cdaf2		Perhaps everyone feels this when they first start studying magic, but all the other students began study with private instructors when they were much younger.	game/events/plot/prologue/day5.rpy	5	"[what]"
day5_night_d521aeb1		In any case it's been such a consistent companion to me these last few nights that it's almost comforting.	game/events/plot/prologue/day5.rpy	5	"[what]"
day5_night_f70f23ae		I'm able to ignore it well enough that it doens't take long to fall asleep.	game/events/plot/prologue/day5.rpy	5	"[what]"
day5_night_dream_a20cefa7		...	game/events/plot/prologue/day5.rpy	29	"[what]"
day5_night_dream_241a7cd0		Through the now-familar buzzing that joins me in my dreams each night, I notice another sound layered on top of it. A crackling.	game/events/plot/prologue/day5.rpy	29	"[what]"
day5_night_dream_23a69aa3		The lights I've seen before are clearer. Reds and yellows and oranges.	game/events/plot/prologue/day5.rpy	29	"[what]"
day5_night_dream_dbdb5943		And a new sensation strikes me. I can smell Smoke.	game/events/plot/prologue/day5.rpy	29	"[what]"
day5_night_dream_e04db510		When the witch caught us I panicked and ran.	game/events/plot/prologue/day5.rpy	29	"[what]"
day5_night_dream_cf9828d9		I was holding the little artifice my parents use in their tavern.	game/events/plot/prologue/day5.rpy	29	"[what]"
day5_night_dream_d7fcbfbc		The building isn't so big, and there's not a lot of room for tables inside. So half of them are set up outside.	game/events/plot/prologue/day5.rpy	29	"[what]"
day5_night_dream_50d68636		But nights here can get real cold. So we've got a few of these artficial flames set up in cages all around the tables so folks can enjoy some warmth while they're eating.	game/events/plot/prologue/day5.rpy	29	"[what]"
day5_night_dream_9edb7fbf		But when I was so surprised I lost it. I must have dropped it while we were running.	game/events/plot/prologue/day5.rpy	29	"[what]"
day5_night_dream_f3b10e3f		Now I'm back at the abandoned temple. The artifice must have triggered and the long dead and untreated wood of the structure eagerly took to the flame.	game/events/plot/prologue/day5.rpy	29	"[what]"
day5_night_dream_1ef867c8		The flame grows and grows and consumes everything. I feel it coming to get me and I'm ready to accept it.	game/events/plot/prologue/day5.rpy	29	"[what]"
day6_763a53d7		I'm so worked up I'm awake before the sun's fully risen.	game/events/plot/prologue/day6.rpy	5	"[what]"
day6_b873939c		Today's the day.	game/events/plot/prologue/day6.rpy	5	"[what]"
day6_e51c6728		Today I take the exam that decides my future at this academy. Or more accurately, whether I have any future at all here.	game/events/plot/prologue/day6.rpy	5	"[what]"
day6_64fe263e		I... don't know what I would do if I went home now. I don't really have any other prospects. My life was pretty aimless before. I know mom will be disappointed.	game/events/plot/prologue/day6.rpy	5	"[what]"
day6_5c776de1		I don't know if I'm ready, given how behind I was at the start of the week I'm honestly pretty worried.	game/events/plot/prologue/day6.rpy	5	"[what]"
day6_5ac5c868		I've learned a lot and I'm sure I can demonstrate that. I just have to hope that that's enough.	game/events/plot/prologue/day6.rpy	5	"[what]"
day6_94bd5669		But the anxiety of it all is still getting to me. No matter how much I pep myself up I can't shake this sinking feeling in my gut.	game/events/plot/prologue/day6.rpy	5	"[what]"
day6_b35280d5		The exam won't start for a little while but longer I'm too antsy to stay in my room.	game/events/plot/prologue/day6.rpy	5	"[what]"
day6_a550ba27		I step out into the courtyard and the smell hits me first.	game/events/plot/prologue/day6.rpy	30	"[what]"
day6_95b1f42b		Smoke.	game/events/plot/prologue/day6.rpy	30	"[what]"
day6_761f4940		Off in the distance towards town, I can see a faint plume of gray. I have a terrible feeling about this.	game/events/plot/prologue/day6.rpy	30	"[what]"
day6_23e17891		There's no way for a fire to make it all the way up to the campus, but something is bothering me.	game/events/plot/prologue/day6.rpy	30	"[what]"
day6_1f5cff64		The smoke, it's coming from the northeastern corner. I think back to my experiences exploring the town.	game/events/plot/prologue/day6.rpy	30	"[what]"
day6_c357ab48		There's a residential area there and... the shrine?	game/events/plot/prologue/day6.rpy	30	"[what]"
day6_e029847d		My memories of my dreams come to me. The shrine caught fire? But that was just a dream.	game/events/plot/prologue/day6.rpy	30	"[what]"
day6_6e2387be		I need to go check, but the exam will begin soon, there's no time.	game/events/plot/prologue/day6.rpy	30	"[what]"
day6_exam_or_save_724dd975		That's right. I have been preparing for this exam all week. If I went into town now I'd surely miss it and risk my attendance here.	game/events/plot/prologue/day6.rpy	65	"[what]"
day6_exam_or_save_e1e06707		I start to head to the hall where the exam will be held but I hesitate.	game/events/plot/prologue/day6.rpy	65	"[what]"
day6_exam_or_save_cc3b5acd		I can't do it. I need to know.	game/events/plot/prologue/day6.rpy	65	"[what]"
day6_exam_or_save_0bb09ab2		I can't shake this feeling that I need to go, I need to be there.	game/events/plot/prologue/day6.rpy	76	"[what]"
day6_exam_or_save_722e2a21		But I can't risk missing the exam. And so what if the shrine burns? No one even uses it.	game/events/plot/prologue/day6.rpy	76	"[what]"
day6_exam_or_save_6d434510		Except... the Shrinekeeper. In my dream she was still in there.	game/events/plot/prologue/day6.rpy	76	"[what]"
day6_exam_or_save_4907bcfd		It doesn't make any sense, even if there was a fire, and even if it happened to be at that old temple, she would have made it out by now. Dreams aren't real.	game/events/plot/prologue/day6.rpy	76	"[what]"
day6_exam_or_save_454488b7		I turn to head to the hall where the exam will be held.	game/events/plot/prologue/day6.rpy	76	"[what]"
day6_exam_or_save_cc1081b2		"Save them."	game/events/plot/prologue/day6.rpy	76	"[what]"
day6_exam_or_save_97a75d2f		I can't do it. If there's any chance they're in danger, I have to go.	game/events/plot/prologue/day6.rpy	76	"[what]"
day6_race_1201ed97		I sprint into town, rehersing the route to the temple in my head.	game/events/plot/prologue/day6.rpy	99	"[what]"
day6_race_a72da611		I'm ready to feel like an idiot. There's probably no fire at all, some idiot just had a tragic grilling blunder and the shrine will be there just as before: an island kept afloat by a sole keeper in a sea of that rundown temple.	game/events/plot/prologue/day6.rpy	99	"[what]"
day6_race_a64e2a6c		Even if there is a fire, what are the odds it's made its way to the temple?	game/events/plot/prologue/day6.rpy	99	"[what]"
day6_race_69d54155		Anything to keep my mind off of the fact that by running this far into town already, I have no hope of making it back in time for the start of the exam.	game/events/plot/prologue/day6.rpy	99	"[what]"
day6_race_1dde69d5		By the time I get to the temple, it's too late. The whole thing is ablaze, the western wing is already collapsed and smouldering.	game/events/plot/prologue/day6.rpy	114	"[what]"
day6_race_4ea76e6d		I just have to hope the Shrinekeeper made it out OK. She must have, right?	game/events/plot/prologue/day6.rpy	114	"[what]"
day6_race_64d0dd97		Besides I'm powerless, here. There's nothing I could do even if I wanted to.	game/events/plot/prologue/day6.rpy	114	"[what]"
day6_race_964eab62		I feel it again. The thrumming.	game/events/plot/prologue/day6.rpy	123	"[what]"
day6_race_f448c32b		I'm not powerless. I've been working my ass off all week.	game/events/plot/prologue/day6.rpy	123	"[what]"
day6_race_a65f82e3		Forget the exam. Here and now. This is my test.	game/events/plot/prologue/day6.rpy	123	"[what]"
day6_race_cff526a8		Water, what else?	game/events/plot/prologue/day6.rpy	135	"[what]"
day6_race_73d3f126		I recall the feeling of jumping in the fountain. Being soaked all the way through. Water dripping from my clothes, down my hair, covering my whole body, and I will the spirits, please.	game/events/plot/prologue/day6.rpy	135	"[what]"
day6_race_a6a9eb75		And thank them, they respond.	game/events/plot/prologue/day6.rpy	135	"[what]"
day6_race_1ebc1e09		In a rush I'm drenched, water falls to the ground around me and push on.	game/events/plot/prologue/day6.rpy	135	"[what]"
day6_race_2d347eaf		 Kinesis. I don't know where I'll find the Shrinekeeper but the temple is falling apart and I can't get close enough to the burning structures to move them myself so I'll need to rely on the spirits for help. 	game/events/plot/prologue/day6.rpy	149	"[what]"
day6_rescue_4b329e33		I rush through the threshold of the temple gate, the flames haven't quite reached it yet but I can feel the heat from here.	game/events/plot/prologue/day6.rpy	159	"[what]"
day6_rescue_2916ceb2		The water rapidly evaporating off of me keeps me from feeling the brundt of the heat.	game/events/plot/prologue/day6.rpy	164	"[what]"
day6_rescue_e37178b2		The heat and smoke is so intense, I begin to cough.	game/events/plot/prologue/day6.rpy	167	"[what]"
day6_rescue_60c432f5		Where is she? I think back to my dream. The east wing, her room was there.	game/events/plot/prologue/day6.rpy	170	"[what]"
day6_rescue_4e23bfd0		I don't have time to find the entrance to the building proper; for all I know it's already collapsed or engulfed by flames.	game/events/plot/prologue/day6.rpy	170	"[what]"
day6_rescue_8125cc8e		But I remember the window. I rush along the outside of the building to where I saw the light in my dreams.	game/events/plot/prologue/day6.rpy	170	"[what]"
day6_rescue_6d9277c1		There!	game/events/plot/prologue/day6.rpy	170	"[what]"
day6_rescue_b7078049		I recall the feeling of setting [wg.name()]'s window into place. The heft of the pane against the frame, the joints where it snapped into place.	game/events/plot/prologue/day6.rpy	183	"[what]"
day6_rescue_62667d5b		I don't doubt the window's construction in this temple differs wildly from those back in our dorm room, but surely the spirits can cut me some slack on this?	game/events/plot/prologue/day6.rpy	183	"[what]"
day6_rescue_a6a9eb75		And thank them, they respond.	game/events/plot/prologue/day6.rpy	183	"[what]"
